plant_kind,variant_id,display_name,kind,hidden_layers,pass_nominal,failure_reason,failure_time_s,steps_completed,max_abs_theta_deg,max_abs_x_m,max_abs_u_n,final_state_norm
nonlinear,mpc,MPC,mpc,(),True,--,nan,401,5.0,0.1287878011830401,5.268736651871288,0.000702657298912939
nonlinear,history8_16_16,history8 16_16,history8,"(16, 16)",True,--,nan,401,5.031272831444999,0.12037713384391338,6.198317796519483,0.0013540216702371635
nonlinear,state6_32_32_32,state6 32_32_32,state6,"(32, 32, 32)",True,--,nan,401,5.0,0.13727120523386777,5.335749600579252,0.0016773790389835465
nonlinear,rich11_32_32,rich11 32_32,rich11_pendulum,"(32, 32)",True,--,nan,401,5.0,0.12518984108253056,5.707636195564026,0.0020808853025826393
nonlinear,history8_32_32_32,history8 32_32_32,history8,"(32, 32, 32)",True,--,nan,401,5.0,0.1185612915096557,5.417264879288536,0.0021017158519904618
nonlinear,state6_16_16,state6 16_16,state6,"(16, 16)",True,--,nan,401,5.0,0.10996261933497688,5.858178591353426,0.0026308604132125385
nonlinear,rich11_16_16,rich11 16_16,rich11_pendulum,"(16, 16)",True,--,nan,401,5.0,0.11542488007788164,5.63764613393987,0.0033130111485384413
nonlinear,history8_32_32,history8 32_32,history8,"(32, 32)",True,--,nan,401,5.0,0.1175881973666348,5.679723598055688,0.00666952335541792
nonlinear,state6_32_32,state6 32_32,state6,"(32, 32)",True,--,nan,401,5.0,0.12772889294637857,5.445577768689199,0.007773340325024
nonlinear,rich11_32_32_32,rich11 32_32_32,rich11_pendulum,"(32, 32, 32)",True,--,nan,401,5.423962867769518,0.3447474202784031,7.285007128540724,0.24749043388410638
nonlinear,pidfeat,PID-features,pidfeat,(),False,angle_limit,0.4,21,91.85018468904946,0.18544231284389467,11.113345007519161,7.795490891859367
