controller,eligible_after_nominal,nominal_failure_count,nominal_failed_cases,max_pass_all_hidden_order,first_failure_hidden_order,failed_cases_at_first_failure,failure_reasons_at_first_failure,worst_final_state_norm_at_first_failure,last_tested_hidden_order,num_levels_tested
MPC,True,0,,4.0,5.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","final_rate_not_settled,final_theta_not_settled",3.59778236341901,5.0,5
rich11 32_32,True,0,,3.0,4.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","final_rate_not_settled,final_theta_not_settled",0.9032861480965971,4.0,4
history8 32_32,True,0,,3.0,4.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","final_rate_not_settled,final_theta_not_settled",1.0228450728048857,4.0,4
rich11 16_16,True,0,,3.0,4.0,"x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-8.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-8.0","final_rate_not_settled,final_theta_not_settled",1.0971513237552535,4.0,4
history8 32_32_32,True,0,,3.0,4.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","angle_limit,final_rate_not_settled,final_theta_not_settled",1.690650077121409,4.0,4
state6 32_32,True,0,,2.0,3.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta-3.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta-3.0,x-0.05__theta-8.0",final_rate_not_settled,0.8000784192796926,3.0,3
state6 16_16,True,0,,2.0,3.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0",final_rate_not_settled,1.0056066030198751,3.0,3
history8 16_16,True,0,,2.0,3.0,"x+0.00__theta+3.0,x+0.00__theta+5.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0","angle_limit,final_rate_not_settled",2.3569937720903154,3.0,3
state6 32_32_32,True,0,,1.0,2.0,"x+0.00__theta+5.0,x+0.00__theta-5.0,x+0.05__theta-5.0,x-0.05__theta+5.0",final_rate_not_settled,0.6403859111465737,2.0,2
rich11 32_32_32,False,17,"x+0.00__theta+3.0,x+0.00__theta+8.0,x+0.00__theta-3.0,x+0.00__theta-5.0,x+0.00__theta-8.0,x+0.05__theta+3.0,x+0.05__theta+5.0,x+0.05__theta+8.0,x+0.05__theta-3.0,x+0.05__theta-5.0,x+0.05__theta-8.0,x-0.05__theta+3.0,x-0.05__theta+5.0,x-0.05__theta+8.0,x-0.05__theta-3.0,x-0.05__theta-5.0,x-0.05__theta-8.0",0.0,,,,0.0,0.0,0
